ID	count_1	relcount_1	count_2	relcount_2	count_3	relcount_3	count_4	relcount_4	count_5	relcount_5	count_6	relcount_6	count_7	relcount_7	count_8	relcount_8
"hsa-mir-297"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-298"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-299"	3	4.053413	1	1.353281	6	5.786183	2	2.065365	10	13.142072	3	4.207261	17	17.608789	8	7.761504
"hsa-mir-29a"	2557	3454.859164	4076	5515.972095	5269	5081.23319	4628	4779.253825	5485	7208.426697	1974	2768.377666	10185	10549.736024	8824	8560.939453
"hsa-mir-29b-1"	10	13.511377	11	14.886088	17	16.394186	14	14.457553	11	14.45628	4	5.609681	11	11.393922	19	18.433573
"hsa-mir-29b-2"	47	63.503473	77	104.202613	88	84.86402	70	72.287763	47	61.76774	68	95.36458	59	61.112855	112	108.661063
"hsa-mir-29c"	81	109.442156	143	193.519139	175	168.763676	158	163.163808	252	331.180224	99	138.839609	195	201.983164	386	374.492592
"hsa-mir-300"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-301a"	0	0	0	0	0	0	0	0	0	0	1	1.40242	0	0	3	2.910564
"hsa-mir-301b"	0	0	0	0	0	0	0	0	0	0	1	1.40242	0	0	0	0
"hsa-mir-302a"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-302b"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-302c"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-302d"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-302e"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-302f"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-3064"	0	0	1	1.353281	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-3065"	2	2.702275	5	6.766403	7	6.750547	10	10.326823	3	3.942622	4	5.609681	5	5.179055	7	6.791316
"hsa-mir-3074"	14	18.915928	28	37.891859	42	40.503282	20	20.653647	23	30.226766	19	26.645986	74	76.650021	38	36.867146
"hsa-mir-30a"	3802	5137.025632	6471	8757.07935	6596	6360.944035	5620	5803.674697	8038	10563.597774	5410	7587.093806	12909	13371.285452	5726	5555.296839
"hsa-mir-30b"	25	33.778443	34	46.011543	73	70.398562	18	18.588282	72	94.622921	19	26.645986	194	200.947353	111	107.690875
"hsa-mir-30c-1"	317	428.310659	211	285.542226	413	398.282275	220	227.190113	263	345.636503	145	203.350943	671	695.029246	596	578.232085
"hsa-mir-30c-2"	151	204.021797	273	369.445629	452	435.892466	235	242.680348	465	611.106365	192	269.264697	832	861.794833	320	310.46018
"hsa-mir-30d"	9026	12195.369111	8807	11918.343043	13849	13355.475128	13662	14108.505998	8508	11181.275175	7022	9847.795325	9666	10012.150064	12775	12394.152483
"hsa-mir-30e"	3161	4270.94635	4466	6043.751565	6243	6020.523592	3916	4043.984006	6779	8909.010862	3220	4515.793356	5332	5522.94477	5001	4851.910494
"hsa-mir-31"	1	1.351138	0	0	1	0.964364	0	0	0	0	0	0	55	56.96961	0	0
"hsa-mir-3115"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-3116-1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
