id	filename	md5	size	state
92787143-2176-41ac-8865-9312db66680d	40df5819-182a-414e-bc61-168b56d07ac0.mirbase21.mirnas.quantification.txt	3a20dff898cef7845bd30e4f046df664	50228	live
1e22891e-352d-48d1-ae6e-af5350a7371e	b6915234-d64a-4d07-95f0-b8db30e7c4d1.mirbase21.mirnas.quantification.txt	899335173bc4cbdf71ad2ccabbfee49e	50310	live
6e9d8859-af1d-48b7-8c37-1933bd52b021	095e2cea-0e2e-41e5-9e10-6b67d21c7af8.mirbase21.mirnas.quantification.txt	23f846bfb7b8a7e51a90b383e44214f4	50105	live
e7420ed3-1b5d-4854-9edf-1b6c2a9151d9	3e815f08-3361-4394-a159-8afe45d726a3.mirbase21.mirnas.quantification.txt	a7b3a95d731fe9627ce28fb7650599af	50185	live
10b53b4c-a836-4e5c-b54b-88519da71b4e	47bed276-728e-49f2-bcdf-35c5e82cfd9c.mirbase21.mirnas.quantification.txt	296515689f800e6831a2ef66ec342735	50377	live
1d08a4ca-6ad4-4167-8fb0-2b140a524b7a	7baee306-9864-4348-b94a-eebaae7e94bd.mirbase21.mirnas.quantification.txt	13978018f330f2e86fec35a9e0155f11	50318	live
1d77f792-66e5-4b84-8f61-102fbf8477ca	ec88d608-342f-4a44-a297-36b801f226db.mirbase21.mirnas.quantification.txt	8c6d4c25766fe52691f7b13cf6087229	50149	live
c36d8113-fd09-44ce-a9b6-0402adbf7619	cc4b56e5-6aaf-4077-a1cb-033e79dd0aa0.mirbase21.mirnas.quantification.txt	b3f1e5e0edd2cf32f3e7af05a73412d1	50226	live
97349a06-2549-4bec-a0e2-1a2982216938	96830405-d3c2-4120-bce9-e145423e5525.mirbase21.mirnas.quantification.txt	67ebb5ee1bfcbe050707602d2a74e2b7	50191	live
cba40bcd-f114-43c9-a4eb-db2cdd38d8c3	85efd05c-8a62-4699-84f1-eaceea028ffc.mirbase21.mirnas.quantification.txt	c258447e42b5d59a895d57113a29acfa	50154	live
62873940-45ab-4f0e-8f3c-bb1f06f67c40	663c391f-3e41-4783-8877-ac3d153d3399.mirbase21.mirnas.quantification.txt	7bac82744dbe2f9fdaf43229c5d4d50e	50286	live
afde9580-3a11-4a5a-a90c-e56d96b8c596	e1e402f2-3353-4fe8-852c-c8c82cca9a43.mirbase21.mirnas.quantification.txt	3f5ad68a5c637f7453c6e105696e20d4	50277	live
98c1e1f7-9ca7-4cbe-a968-659f2bd8da0e	ace4fe30-eb8b-4e4d-ad64-2930f3d9208e.mirbase21.mirnas.quantification.txt	e9f9557bbf2c73bac364e1e5bb52a594	50069	live
4388be94-5d2d-4d55-ae50-95eb57802a70	12c47353-a575-4b3c-914b-ec123b42c53a.mirbase21.mirnas.quantification.txt	7b9faff82d280871e51dac7c8fbe153d	50101	live
369a2944-aa5a-4541-9e82-bce15d270575	29001e9c-8ac8-40f1-af98-02527f63fb50.mirbase21.mirnas.quantification.txt	93042da75657a22a335717798a9bd9ea	50094	live
bb6adf1b-27a3-40cd-bd06-2d5ef8d556ba	686a6612-aa37-4bf2-b2b9-599d4eb8bbf5.mirbase21.mirnas.quantification.txt	af294e22198518748b067523d44cab69	50257	live
b9f9c0fb-b9fe-4dd3-b761-dd19718bbb84	586d1459-bbdd-4456-83e3-a71a77c8ac74.mirbase21.mirnas.quantification.txt	7e49b110a70ba01d23158c82f05d3fe8	50249	live
b5eb67e9-851b-44ca-a93e-d43c94fd2818	7538d12b-f547-443c-88ea-943c73b0fa35.mirbase21.mirnas.quantification.txt	d409e139e5a55bb5655eb9edd22f5069	50115	live
02005b4c-85c8-42cb-88f4-39a4aa5bfe37	755ef918-247b-4a51-a16c-430939e2df6b.mirbase21.mirnas.quantification.txt	aee80e9456f7d3cbfeedb0d002aff176	50246	live
64980578-a92c-4b88-8c12-5bc3f5c4c8ef	3ec79fce-f7e2-44ff-a1a2-8f950812077f.mirbase21.mirnas.quantification.txt	81a1ecfa2cd0c0fbdf7a6bac044f2c54	50183	live
dd6e9d89-eda7-4be5-aba5-754d416b9d4d	43336e56-ffe0-4123-a38f-c647c484529a.mirbase21.mirnas.quantification.txt	120592b04b34a60a245630215b3876e0	50394	live
7efc1706-703f-4410-943d-431ddada2078	db2091dd-1cfa-486c-b59e-861366428253.mirbase21.mirnas.quantification.txt	d427ad3e4bac57b91cc62449ffdf5212	50208	live
7de6975c-6578-4556-b2ff-2faabc2ec0e4	ee7b99a9-8430-40a5-9141-eb56d5438283.mirbase21.mirnas.quantification.txt	62b758f7cb3732084bc9da1a2d2bade4	50227	live
e24ae710-5831-4d4e-87e3-a3a3c85a8d2c	351c734a-2a36-4a6d-87fa-992a0266647f.mirbase21.mirnas.quantification.txt	e79cd2f891aa1bb93be56eff842d59b4	50235	live
d8eeb626-6b61-4aee-b7b6-5c17960981cc	1b6733a7-46dd-4117-9e84-d36240bebf90.mirbase21.mirnas.quantification.txt	8e45ac3f9236b8d42b8ab2f7c3b5aacf	50122	live
b9f29db7-ccf0-4ff7-a8cf-f97c8b472eb9	b6a10bf8-3420-495f-836c-c6f64330184a.mirbase21.mirnas.quantification.txt	03449ac667eddfd9dbb1357a55e8acd6	50242	live
d0c6724d-79c5-4019-8cf2-0979050bcaa8	80d9ebe3-ce0d-4c7b-9434-c5b3e9788e96.mirbase21.mirnas.quantification.txt	7765d0f4df14ec683c0f8fc1de8cccd4	50270	live
39da6093-f6b1-4d1f-b38c-8fdd94f2854b	f9e87f34-c2f8-4cc6-b3ae-9f248129ce39.mirbase21.mirnas.quantification.txt	082ae295d426bd7b97809e301b1104a2	50033	live
f43c2695-dc6b-4eed-9567-0596542568a4	d12ce7fa-9313-49cf-a4cd-e2c564b07ac0.mirbase21.mirnas.quantification.txt	b860a1661a26dd32b60684d28461e51f	50116	live
df24e515-2c1f-44b4-920f-93902e02cadb	1c46d029-7610-4f8e-bb5a-47fe497f182a.mirbase21.mirnas.quantification.txt	d234c73c40fca8159718ea4532ca1532	50110	live
321cb5db-9ed2-4be6-94cb-98ba64de91a6	009d9e0d-cc9d-498f-81c4-50d672c33b43.mirbase21.mirnas.quantification.txt	2b4f3016bfd20438130d697a183fd158	50180	live
4d5c7bce-1197-44b3-a935-c3a1d6daaf09	e638eb72-9905-41f3-8ecb-c5e98bc2fcff.mirbase21.mirnas.quantification.txt	7b6e1f19a1cf6638cfedddd633deeb3d	50204	live
