id	filename	md5	size	state
c85a6f34-7b6b-4677-beac-44f06bcc5c32	f5703c0c-00cc-481d-9296-416238a6f42b.htseq.counts.gz	7c2caf5b607c91b127635034180e54c7	253904	live
4359de5b-be34-4bec-8d31-171ff1397533	ef9be0f1-2a17-49b9-b90e-2bb2e4f43c84.htseq.counts.gz	dbf93df4807f200f6ae8582fc2e78e36	254528	live
a560504f-6cd1-416d-93c7-77aab2cc921c	0e3c0131-7ad3-425d-ade3-a75296581f43.htseq.counts.gz	f121037a3df2b07720343671402cba24	252957	live
a8710081-fa3e-4b52-8a7b-0103c625077f	1d7afc91-311c-4f26-9be0-b76ac284ee96.htseq.counts.gz	b8770548bd636b40dde619c9f9e42581	250129	live
a85171d0-71e4-42b2-9d09-38eb164e9169	9c67b11d-1bac-446f-8bd7-ca34b7bc2ad6.htseq.counts.gz	f0f273da8b591970d93732e85ffc99a2	255388	live
ca2da18b-7519-457a-9e3b-4e4732744669	7a494c60-48a3-486a-83c2-aefb4c160a2c.htseq.counts.gz	b6b9a0cb288f85d25c55e3a176b2e2ef	255845	live
47eb73fc-3811-44d2-a6bc-f8492344fd77	d806b4fb-807b-4d66-b17f-c2e381675e4f.htseq.counts.gz	9ef0855395c515dac1249c169313c06c	248540	live
e2b70b32-c8c8-482b-9b65-23a819fb3d27	fd39d52c-5ae1-429c-b85c-96321db417d3.htseq.counts.gz	625c4be9f3314d8c5d5f4e6ecb7e4f2d	255893	live
609d30ce-d6e3-42fd-8d7d-1006ad397743	2f01ef65-282d-46a3-acb9-97a27fc30a97.htseq.counts.gz	5f37e40c59dbfe4e18ee67741e10ff8d	251864	live
02a9963a-a736-4ce6-ad84-82e84153433c	73f7d513-46c8-4559-86cf-8b789c042e32.htseq.counts.gz	31be0b49dac96e45815a449e6bfab1f1	255913	live
edfec790-c3cf-4f75-82f9-bc73a9701976	b64a6c9f-29af-4af8-a4cc-045a03354fac.htseq.counts.gz	2625cd14523da359798d5cd42ea584b7	249166	live
5bb779ce-ad42-4e24-956c-7dc46bb03b74	87e68da8-743f-40f7-8894-fb66e474bb61.htseq.counts.gz	3ba30dadff025586db5e6b03430e2fa8	253633	live
f7c0dcbd-6704-41c7-8516-a83a7909d027	ecefab08-36f5-4a49-9e4d-9e6def0d747e.htseq.counts.gz	02c7a0be375fd6722db7fd9a54f72824	247242	live
5d552f3c-cf37-4be2-97b4-2adce5ab8afd	339d6e55-7065-45d5-ba2c-afc689cb7386.htseq.counts.gz	8e003b06fa18b52d8c9c4618a54f32ff	256547	live
db45f373-e402-4261-b10a-9e5baef88fd3	1d293e9f-7672-428c-be8d-3d180c8e8590.htseq.counts.gz	c89fe99bfb86968670a0fe1f1be43a32	256260	live
b2bf9274-481c-4719-9984-a0649c7aeb1a	fd9be810-7e9e-4697-99b1-70a5c5901e07.htseq.counts.gz	77f82e8eef832fa2267f353440fbba57	257402	live
480830ca-acab-4844-b7d6-00056a4dc3a2	99059480-b9f1-4b89-840c-439e42d8f42c.htseq.counts.gz	feff3b570cce8fbb43f0fdb923332995	254122	live
f3734e3e-de35-402a-8632-28b419e8334c	998523c5-4a3d-4e63-8e3e-bdd0ac9cda0f.htseq.counts.gz	55748a7ab769005d8a8db0bede8ab6e2	260949	live
6aa81538-6748-4470-a6e7-e9400d27471f	4a557993-a2f2-44eb-8dff-1541628b0f88.htseq.counts.gz	75a900fd80d22fc496b3ec6cc39bdf87	256717	live
ff164cca-c521-4d0b-8b05-fede3b449ecb	b3ae3d7d-e056-444a-8d27-39faa849ae37.htseq.counts.gz	11bc806b9d7b451568d56a6fce5134c7	250796	live
1b8ce3a3-4e5b-407f-a765-20d3ca124b5d	03d7d46d-fc0b-41ad-9086-414355a432af.htseq.counts.gz	aa3dd1c325dbcfc2eb0eb09bdf729490	253296	live
96463113-d20c-405e-b2e8-56eed3faf201	19f52003-78b1-41db-af49-65536c538ce3.htseq.counts.gz	eb2f8442f59547eba81b341cfff620b7	254075	live
b1f6dd16-5778-4e86-b1e3-b6fd532f9b76	c8f22456-214f-4648-bf99-c2addece6502.htseq.counts.gz	d45e226cab844fb6f69c68533ec649e8	255093	live
deee94db-7260-459d-91fe-3e151e94b24b	c1f0e689-1d11-4f7d-8386-616efe367e52.htseq.counts.gz	091b51a2b285ac7e0c45398903008f20	251858	live
95b09cb7-23c4-46cd-834b-cb1a25128160	dc322491-2407-401e-a422-96be40d6518f.htseq.counts.gz	1d48522d44e048a6ed92114a89f9a74a	251445	live
4c7511e3-7b64-4c7d-a176-09c5c0ecd183	99c7b545-c90e-407f-9086-0ef8e108f973.htseq.counts.gz	596169ed239de2ffca41d5d91d5acaea	246645	live
5fe3f7ed-5a24-43fe-8ea9-f5d4f39cceba	80972822-9505-4450-8648-220cfda9f695.htseq.counts.gz	1b5558a804a07d24cf613abd99e767b1	253175	live
38afecfc-b0ba-4c5b-89d6-a00ab973096c	94bedc10-62c2-4bd2-bad9-0ec08c9bf5e9.htseq.counts.gz	0e27f49313a781e5e547961e5b22874d	255915	live
6646e159-5c98-4678-bcb4-d2c6d832dbfe	ee05eaa6-eaca-4438-ac1f-4259f525e2a1.htseq.counts.gz	86d63a165b07ea681eff8ddddfd2bffe	257915	live
af3b9b92-fa7d-40a3-a738-76edb9521701	68b3162f-a77a-4630-a64a-26a33a2ecb12.htseq.counts.gz	6bfb872fc6dd6ed148af5a2a6a7c25f2	259159	live
b18aa899-7964-4d59-8a18-765c21fe9926	c8c58445-3c7f-4c98-85b0-6a707c3d8473.htseq.counts.gz	454ec59b4ff03163d1cafceafc120231	250127	live
efa11eca-959f-48fe-917c-a29bcdde7884	5ec8fcf2-85bc-4c30-9329-62b1cc47b67f.htseq.counts.gz	4033ff526fc32bae6c3f6a6b0b4299e7	250632	live
9d2cceab-be90-4f6a-9fc2-d33bb867b27e	445b096b-502f-4e88-9338-4ad309a14425.htseq.counts.gz	1f9d97a3be85bd134156862498c6e700	250084	live
09ef2304-52ec-4b89-bf13-6c50c867beea	b95cd925-a039-4c0f-b587-4bd4acf03e1f.htseq.counts.gz	9cea254d78ce9e30068da076c0f07271	245237	live
a1825e13-9f5f-4643-96ed-7cb64140f581	53a59278-dd3f-4678-bbee-a7c9aacff1a5.htseq.counts.gz	a57300516020f6de49b55efc16878e26	249357	live
40b6f6f4-05f8-489d-bec7-2e567bd5776f	4c05f1ea-cd90-4a8c-b445-fb60850144d1.htseq.counts.gz	80a8787929a1c409c0f121499384f311	253811	live
fcfb627b-d8e2-4e0d-93f2-022de221e2d6	5fb64539-aa50-41c0-9b2c-092455ea02cb.htseq.counts.gz	993830e29dc31f4f30f271374cf16c97	257311	live
7649a0c8-dd5e-440d-9794-e3b53cbdd1d9	7b18f9cb-2541-450d-b816-9823edc1afe2.htseq.counts.gz	f0e9252ff911a0944b5b17d384e75168	256953	live
ce31c6d8-3fca-4eb4-8ec8-0612af14ccf5	f4ff65b1-0c38-4cc3-85ce-52e8a0640446.htseq.counts.gz	080a719b133a8e74828a6992e480dfb7	256495	live
5d247eec-811c-43d0-90e3-ea150752046c	892b14a6-b2b6-4860-a7fc-f65beac8530e.htseq.counts.gz	b8c2a034d17a9b756f78b3d418d779ae	254279	live
a4ce3b73-9ab0-402f-8dc2-5b4344d4d356	f5689b4d-3907-40ce-aa31-90508021731a.htseq.counts.gz	9af01d7f3b104496f3c4068c8b653e31	255107	live
714c3848-60c3-45bd-afaf-8889f9b005d0	1cbb4ac2-5588-441a-85f9-59deffb16a22.htseq.counts.gz	d6f05720d878ea2049c5e4792ea68349	252629	live
f0a29d2b-bf66-420a-bc8b-b7363bedaa9c	4270fb7c-3aa7-419b-9e7f-e449e6f659fc.htseq.counts.gz	a1aa64b804478322142fd4f8aedfdd0a	253574	live
81f0ffb9-f85a-4e2d-bf6e-892f4a74a93e	2afc73e0-d4e7-4b35-8c1c-8bfc1237ee0a.htseq.counts.gz	e0c79ca4dbf3c638411c832c67b6e112	260533	live
808080d5-ed28-4542-a30a-fe0169de2ef3	cadaaf79-d226-4eb9-a4ef-64cda5a1fe3e.htseq.counts.gz	b708bd11dcef72e5613ca1b419ac5790	254246	live
a850150c-8cf8-4a56-b8ef-f3598527923e	793d9283-e8c4-4548-8f2f-b57f94308b5c.htseq.counts.gz	a92b28e29392ad6fd96619a0ec113e79	256781	live
090ef836-5058-4ac6-9a19-ba50d137e842	6632e6de-5170-4096-a298-078b6bfd3760.htseq.counts.gz	2ab199f43dc288f7af07c07a9f85516e	253805	live
64359aca-75cd-4813-9b0c-e19c0be53f05	583a285b-0bcd-4fd7-9c66-19ca10d974c3.htseq.counts.gz	3407dd9ef0585af82a7165edb3266ad6	255400	live
cd57ddc1-3975-45af-b6a3-ae68ad107503	e4698729-7951-474d-b2d2-d0fbf6d5793f.htseq.counts.gz	53c1cc657302aa62ef347a955deaf392	253697	live
737c531c-0a48-4df1-85a8-1e7fe626da72	93904035-e387-47e3-90f0-ea0d5f726dac.htseq.counts.gz	c8a94603b622bf8b3707f172792a55f3	253474	live
afd61b19-7af6-44b5-bbba-14db3fb74e8f	9ed9fdc8-a437-4f4b-8ef8-e3f0c219baca.htseq.counts.gz	f0a057c4925825a21bfc25d14e279a8a	248590	live
18865beb-04ae-48e2-ab7e-3285d44bf87c	743ef32d-2d6c-4ae0-959a-8c20de3e6734.htseq.counts.gz	4b2d206232c8a30a1ddf67b761c3adca	246397	live
3999296c-e924-4fcf-934d-afa6f2306cba	0a3fb653-84e8-426a-999a-8dc8127dfd6d.htseq.counts.gz	0f773f61ef57010658155d35d6dea1db	250476	live
0c9bc998-17a7-42cf-b4d2-b8a5df20ce8b	338b5431-af4d-41ce-855f-998a293c3680.htseq.counts.gz	93698aff04fe34693181632e77b09cdb	257815	live
0df8b5bd-c320-454c-b3a2-f3e5f0351b69	54f95193-f419-44ce-b397-a67ef67786a4.htseq.counts.gz	adea3724ee8c58d25b2fc67e3afb6ac5	258351	live
e6be47d6-1c2a-4f4e-98fb-b6ad6a1b05a5	9f29fd2f-3231-419c-b7d5-dba6457e523d.htseq.counts.gz	422bb89443b21b6d77f679c4a2bcc2b6	255269	live
259af2bd-c3c6-424a-97ec-3bcd06b0dfaf	5a4ccc96-fd1b-4237-b8f1-1344b880fa00.htseq.counts.gz	d4c814ad6d8d95d8c853ad30c408515e	252397	live
02800091-2990-476e-bc00-e179b9494710	f828b2e0-2ad4-4669-9f1e-2ef2dd74706d.htseq.counts.gz	ae24a5c83c95da7b2ae9b5d70c2fe104	247232	live
6e6649cc-4847-47e5-8f24-c87daf8eca46	26e8feed-d934-4dbc-8b04-d771b2a65915.htseq.counts.gz	c256a2ab2cd43aec093ed4874a19c185	256818	live
e610d05d-8e11-4a82-bc2b-8114be48db66	27035d6f-4b2d-48ef-ae2b-b3cf52d67903.htseq.counts.gz	ea75969f16211aa7c5795ce104cb61fb	256211	live
6e4c1679-3fb6-4339-9adf-d1a11c6f05e1	b140b49a-5eb6-4272-a534-ab9a3685b87e.htseq.counts.gz	5b17418454a34a7a44388d1fbea0de83	254185	live
b54ddeda-a93f-4140-98f7-e7f6afd7f115	bef64f1a-1c0b-4615-bbbf-9faa7b0a03c8.htseq.counts.gz	b47c01a150b4a53991c469300339e6ba	253923	live
