id	filename	md5	size	state
7cdbaa5c-c793-4551-baee-dbdf8d911c74	47f0749e-01c7-4d8c-8926-06293c4a9b4e.htseq.counts.gz	661647c951958c2e6fcf26be53e44d0a	256954	live
15877ef9-8b99-4f7c-8c7b-4ba02d7c7991	9075b4ab-16ef-4cdd-bfe5-855d18b15e11.htseq.counts.gz	d52e92bcdcf32c66a5a7e0a6e8d68aad	255624	live
573b6ee3-5d0b-4e71-a167-3531e38340d9	7f92fd47-9938-4069-bc1d-ce6d7d6c1dc4.htseq.counts.gz	216a1272b9462cad12fe66165884cfb9	254455	live
3560fd9a-f134-4e95-ae7e-efc75ad33b3e	7bca938a-45fa-4a07-ba7b-71796388e645.htseq.counts.gz	20ea8552fe5e32dd6867dc9a07b567b9	250329	live
35450c3a-d2f7-489e-86eb-2125b7d2a6d5	d8a963cd-8c5d-4b31-86bc-ecaf7e74b456.htseq.counts.gz	8de3dc33c3957d44fd1b2dd4f27439d4	250792	live
40bb5f8c-33ba-4ad2-871f-b5b1fb6f08f9	5d4c3e4c-0f1b-4e23-af3a-7644cab6c70f.htseq.counts.gz	ee285c5c9cf7faa14d1d57ede5c2c6ea	257157	live
bc68952d-15cd-4f60-a425-b795ca5a9de8	57b2e9d8-ddae-4457-9959-0d911288e8dc.htseq.counts.gz	7bdbda1ed29a1f19559bdbdd8cc0dbb3	253006	live
64d828af-2788-4dcc-9c3a-46bac0e462fb	f76b3ebd-e168-41b4-ac1f-e58b583a0506.htseq.counts.gz	24dc8fc220b543cc20ebb08afeb1fbf6	255264	live
66349271-e9d6-468b-bd25-5e649c8177b6	15b1a310-59b4-41e8-bbc3-19131f12ee09.htseq.counts.gz	6708338d46be3aa04f68e1e19163630d	257982	live
450599b9-e524-4c84-9361-17e6d3b952cd	e91a54c8-5b35-47e6-a65d-0e3b07b31d40.htseq.counts.gz	85956100e3fafdc320df0c48285f62fd	251697	live
32eb0ddd-8bc4-4c64-91f8-ccdd84539688	f40edd33-8549-48a2-9fc7-a9313468b155.htseq.counts.gz	e71c8017bb4689b21785100b7e5d98f5	258870	live
4004a263-47ce-47e7-bbe7-451e7dc2d8e5	f4bb4f4b-2e42-4098-9edf-042f1fffea0f.htseq.counts.gz	00c680148bc33ad4dc4a23012250ff50	254932	live
b8307b22-6acc-4678-9e01-81bc433a3b3c	08ca348b-8c35-4f2e-ba37-c5bcb02c7896.htseq.counts.gz	1e1c4547d3d0538f83c276338bf7f8b2	254761	live
